year,branch_code,visits,registrations,circulation,sessions
2012,AB,522309,4939,515235,132024
2012,ACD,214076,1695,446623,131353
2012,AD,88065,445,171050,16279
2012,AG,434320,3166,1061437,140407
2012,AH,67184,467,204490,11895
2012,AN,96885,918,240626,36663
2012,AP,74678,901,163898,18961
2012,BB,61252,720,202154,19784
2012,BC,95843,1167,138372,25755
2012,BD,62326,820,200129,19911
2012,BE,235687,1525,341900,45165
2012,BF,353141,2303,647905,101666
2012,BKONE,39749,143,67865,NA
2012,BL,373581,2798,479949,177112
2012,BR,40479,766,106001,8276
2012,BRW,392397,2015,518725,41350
2012,BUR,151087,955,218886,25885
2012,CC,89195,837,195299,18786
2012,CE,143138,1631,348457,28740
2012,CED,415753,4750,731057,240834
2012,CH,215588,1685,384481,30061
2012,CL,1493796,10291,1703346,484789
2012,CS,120622,1035,215913,22640
2012,DA,168594,1016,307214,35962
2012,DM,248880,1873,685617,75424
2012,DO,339600,1636,271666,103227
2012,DP,229132,1817,401443,40648
2012,DR,133892,1184,225295,48770
2012,DT,40644,275,123173,6192
2012,DU,117090,954,154309,54256
2012,EA,205341,2423,530488,48329
2012,EB,54894,322,183060,8451
2012,EG,51552,524,95421,30367
2012,EN,188863,1820,433652,21394
2012,ES,220158,1392,286302,34997
2012,FH,93424,922,227143,20652
2012,FP,150663,1382,188026,55771
2012,FV,442214,4064,890759,164649
2012,GE,104885,528,203132,21811
2012,GHP,205973,801,334004,46660
2012,GW,58289,380,148552,11027
2012,HB,59603,617,192426,8441
2012,HC,80642,762,218516,23497
2012,HIL,150059,915,360965,32986
2012,HP,164444,953,308987,39306
2012,HS,51300,604,97199,31763
2012,HW,209196,485,106825,31205
2012,JD,165105,1752,300276,71573
2012,JO,87163,535,181779,30753
2012,JS,95315,1034,141266,46352
2012,KE,117782,1430,223015,38399
2012,LB,53681,652,142115,26643
2012,LE,134816,1065,363636,25308
2012,LO,181942,1597,351907,42570
2012,LS,370557,3194,499815,188318
2012,MA,127129,866,278109,35881
2012,MAL,358262,2534,534394,165136
2012,MAS,242057,1806,284876,132310
2012,MCG,132919,1321,269715,39797
2012,ME,7612,1,23,NA
2012,MI,93400,834,216921,17454
2012,MP,66278,510,163678,5328
2012,MRV,168413,994,266502,31081
2012,MS,119263,1146,217494,34166
2012,ND,407488,2755,489994,127600
2012,NE,39158,446,90365,12532
2012,NT,88266,583,146150,26430
2012,OS,9372,NA,2,NA
2012,OV,79205,600,128285,35837
2012,PA,279483,1397,436618,70725
2012,PE,35235,185,86088,10329
2012,PK,315734,1994,375921,111474
2012,PL,205094,1649,261976,60005
2012,PM,119602,754,220608,21846
2012,PU,134834,819,254806,15438
2012,PV,103343,713,256862,25879
2012,QS,60209,417,108993,12243
2012,RD,231360,986,338175,73429
2012,RI,421962,3082,791674,131921
2012,RN,325843,1782,470632,69640
2012,RX,45502,421,97181,20822
2012,SA,352949,1419,311553,67645
2012,SB,21484,157,46924,631
2012,SI,41997,306,65465,15156
2012,SJ,198384,1828,301031,64006
2012,SL,99144,915,200598,23702
2012,SP,92352,754,196119,11709
2012,ST,210047,902,338021,37604
2012,SW,20256,88,45368,2759
2012,SWS,254166,1360,459564,129468
2012,TA,40929,443,130971,13881
2012,TH,205064,1555,231899,80657
2012,TOD,21401,157,55391,2820
2012,TRL,1137016,8682,355367,727822
2012,VV,65984,427,117945,14772
2012,WE,84777,1092,185500,40117
2012,WP,35561,515,90311,19629
2012,WS,488396,2013,542341,105207
2012,WY,107079,845,243739,44020
2012,YO,208985,1042,327149,32464
2012,YW,212775,3008,338157,172783
2013,AB,432525,4483,466776,139402
2013,ACD,222012,1770,420341,133591
2013,AD,96088,504,178588,16238
2013,AG,451500,3586,1053430,180672
2013,AH,68925,501,207404,11250
2013,AN,79655,814,212282,30396
2013,AP,53300,911,151191,17788
2013,BB,60825,807,203292,22950
2013,BC,82713,1063,110368,21560
2013,BD,72446,823,184484,22293
2013,BE,215213,1481,348964,46488
2013,BF,364175,1848,613282,112745
2013,BKONE,31488,176,60626,NA
2013,BL,367025,2698,477286,171160
2013,BR,247650,2280,420090,84403
2013,BRW,399650,2099,522544,43375
2013,BUR,144500,967,207751,27563
2013,CC,80800,789,193420,17750
2013,CE,138425,1836,349505,29350
2013,CED,405263,4395,659795,260191
2013,CH,219213,1992,381890,31225
2013,CL,1690775,11924,1735943,545403
2013,CS,112175,950,214116,21563
2013,DA,158188,1110,319308,39138
2013,DM,239838,1898,630135,81804
2013,DO,153000,1920,265652,120176
2013,DP,225188,1844,407306,52063
2013,DR,123463,1326,235319,49088
2013,DT,39263,240,120435,7000
2013,DU,121688,954,151379,63350
2013,EA,214193,2285,481519,43594
2013,EB,55800,354,184184,7575
2013,EG,60925,490,82785,29788
2013,EN,205213,2343,499535,25243
2013,ES,217688,1491,283051,39200
2013,FH,90188,890,215971,19988
2013,FP,150363,1399,173555,59211
2013,GE,99125,539,194083,21888
2013,GHP,184713,818,309625,48736
2013,GW,51138,336,134737,12550
2013,HB,53538,634,185845,8675
2013,HC,60375,785,204248,22513
2013,HIL,222063,1350,468119,55275
2013,HP,235163,1158,347145,41600
2013,HS,48263,743,89453,30800
2013,HW,212738,482,101325,36038
2013,JD,168775,2561,290200,75575
2013,JO,75250,633,185842,28675
2013,JS,115425,1330,140002,48988
2013,KE,117338,1539,214023,38200
2013,LB,54113,660,135757,26575
2013,LE,160863,1103,364969,27025
2013,LO,179513,1547,356462,40425
2013,LS,354888,3254,495308,189215
2013,MA,107346,836,254725,39548
2013,MAL,385150,2661,507636,181120
2013,MAS,208021,1791,249361,111379
2013,MCG,128400,1346,256023,44723
2013,MD,57388,995,105129,44575
2013,ME,8300,NA,4,NA
2013,MI,83468,816,188067,21055
2013,MP,72363,591,159474,5675
2013,MRV,150788,1102,258596,30713
2013,MS,135475,1038,216544,39950
2013,ND,328400,2665,492887,117777
2013,NE,41188,414,95443,13700
2013,NT,88600,568,136741,22372
2013,OS,5825,NA,10,NA
2013,OV,84013,604,133008,34600
2013,PA,257275,1538,437861,72263
2013,PE,40100,234,87564,9638
2013,PK,345738,1883,371412,128159
2013,PL,208063,1632,257039,69688
2013,PM,115625,765,222670,20863
2013,PU,127775,850,250018,16875
2013,PV,186250,1192,364392,41325
2013,QS,70725,424,114279,11863
2013,RD,226400,1014,304089,73788
2013,RI,409390,2608,669746,118823
2013,RN,283238,1727,457819,67213
2013,RX,46325,422,92390,18938
2013,SA,290300,1492,292200,69388
2013,SB,19200,117,43349,538
2013,SI,31100,290,61402,14225
2013,SJ,192963,1695,297168,62200
2013,SL,114900,1141,219240,26075
2013,SP,78583,691,178496,11245
2013,ST,160538,1058,323144,37838
2013,SW,19688,67,44401,2575
2013,SWS,262125,1293,453121,147925
2013,TA,36375,317,137367,15425
2013,TH,203338,2090,231256,88100
